,filename,label,x,y,w,h
0,phoenix_1534179268800384446_20170610_jpg.rf.50cf07e7931ebd2e548ead505c941978.txt,5,0.78828125,0.4625,0.10078125,0.05625
1,houston_1443265294009092644_20170205_jpg.rf.0690aefa1285bd035ce5f9024c544302.txt,11,0.12265625,0.4484375,0.1859375,0.25625
2,houston_1321251999920700430_20160820_jpg.rf.dd68b5cf82658efa9a6be0b5cdcad8fb.txt,7,0.6359375,0.81328125,0.078125,0.0765625
3,miami_1281906718921721424_20160627_jpg.rf.1c7634cc0af37af504e73020be91581b.txt,6,0.19921875,0.9203125,0.07890625,0.11953125
4,la_1711565154762048426_20180210_jpg.rf.683a28c3df540e2d70344c477bc7a778.txt,12,0.86953125,0.08125,0.15,0.0640625
5,chicago_1547979463199754731_20170629_jpg.rf.081fe506e1390dff7ecffb21bf09173e.txt,2,0.578125,0.871875,0.17109375,0.2515625
6,chicago_923124883481966485_20150218_jpg.rf.65e793d7e7ce864aa6650e72209b50d3.txt,0,0.796875,0.9484375,0.078125,0.05625
7,chicago_923124883481966485_20150218_jpg.rf.65e793d7e7ce864aa6650e72209b50d3.txt,0,0.31171875,0.109375,0.0609375,0.04375
8,london_1889967422692050635_20181014_jpg.rf.80127f9a6b65af0ea30e875a8814f56e.txt,0,0.32109375,0.61875,0.13203125,0.075
9,phoenix_1885210189341116449_20181007_jpg.rf.fa97af3eb1dd6c1864dadabb1a6819ee.txt,11,0.371875,0.80546875,0.1015625,0.10859375
10,phoenix_1211242889707587660_20160322_jpg.rf.a2bfc63511b8ccff98521ea040f57022.txt,11,0.91015625,0.0984375,0.178125,0.196875
11,miami_1448267730339209538_20170212_jpg.rf.3ed8d35f44ed99a0735c6636df1ffb6c.txt,0,0.04921875,0.87265625,0.0984375,0.06484375
12,la_2017_1580035962438857834_20170812_jpg.rf.b784b521865b6030c49e7aa53b6aba2f.txt,0,0.1421875,0.375,0.0640625,0.071875
13,la_2017_1580035962438857834_20170812_jpg.rf.b784b521865b6030c49e7aa53b6aba2f.txt,5,0.43046875,0.56953125,0.0125,0.0125
14,la_2017_1571950354475952146_20170801_jpg.rf.a636120b800ac50b0584625b06f72f6a.txt,12,0.78125,0.1765625,0.03828125,0.02109375
15,la_2017_1571950354475952146_20170801_jpg.rf.a636120b800ac50b0584625b06f72f6a.txt,12,0.2015625,0.23125,0.05,0.03046875
